LebwohlLasher_Numpy.py: Size: 100, Steps: 100, T*: 0.500: Order: 0.284, Time: 8.342402 s
         2724556 function calls (2702160 primitive calls) in 15.661 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3469    0.003    0.000    0.004    0.000 __init__.py:101(check_in_list)
     7467    0.003    0.000    0.004    0.000 sre_parse.py:164(__getitem__)
    30790    0.003    0.000    0.003    0.000 {built-in method builtins.callable}
      398    0.003    0.000    0.141    0.000 <frozen importlib._bootstrap>:890(_find_spec)
      100    0.003    0.000    0.011    0.000 artist.py:170(<listcomp>)
    20133    0.003    0.000    0.003    0.000 path.py:256(should_simplify)
      644    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
    20133    0.003    0.000    0.003    0.000 path.py:244(simplify_threshold)
      108    0.003    0.000    0.060    0.001 lines.py:274(__init__)
      188    0.003    0.000    0.003    0.000 colors.py:1101(<listcomp>)
     3586    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
 1287/423    0.003    0.000    0.003    0.000 sre_parse.py:174(getwidth)
     1360    0.003    0.000    0.004    0.000 __init__.py:2004(_setattr_cm)
     7859    0.003    0.000    0.003    0.000 enum.py:631(__new__)
      252    0.003    0.000    0.005    0.000 artist.py:180(__init__)
     1772    0.003    0.000    0.006    0.000 transforms.py:1772(__init__)
   408/14    0.003    0.000    1.137    0.081 <frozen importlib._bootstrap>:986(_find_and_load)
       40    0.003    0.000    0.007    0.000 __init__.py:313(namedtuple)
      375    0.003    0.000    0.006    0.000 transforms.py:754(__init__)
     5988    0.003    0.000    0.003    0.000 sre_parse.py:233(__next)
      801    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
       36    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
       28    0.002    0.000    0.014    0.001 ticker.py:624(format_data_short)
     1009    0.002    0.000    0.017    0.000 fromnumeric.py:2188(sum)
  378/377    0.002    0.000    0.135    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
   288/72    0.002    0.000    0.029    0.000 copy.py:226(_deepcopy_dict)
   378/15    0.002    0.000    1.127    0.075 <frozen importlib._bootstrap>:650(_load_unlocked)
   322/15    0.002    0.000    1.126    0.075 <frozen importlib._bootstrap_external>:842(exec_module)
     6363    0.002    0.000    0.003    0.000 {built-in method builtins.setattr}
       60    0.002    0.000    0.008    0.000 lines.py:656(recache)
      377    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
     8906    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
       69    0.002    0.000    0.002    0.000 {built-in method matplotlib._path.point_in_path}
     2654    0.002    0.000    0.004    0.000 __init__.py:421(_strip_comment)
      103    0.002    0.000    0.019    0.000 patches.py:742(get_patch_transform)
       38    0.002    0.000    0.007    0.000 backend_agg.py:263(_prepare_font)
    10224    0.002    0.000    0.002    0.000 {built-in method builtins.id}
      801    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
      512    0.002    0.000    0.002    0.000 __init__.py:1775(<dictcomp>)
      102    0.002    0.000    0.002    0.000 twodim_base.py:162(eye)
2435/2269    0.002    0.000    0.002    0.000 {method 'update' of 'dict' objects}
       29    0.002    0.000    1.352    0.047 __init__.py:1(<module>)
       36    0.002    0.000    0.104    0.003 axis.py:58(__init__)
   405/14    0.002    0.000    1.137    0.081 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
    10065    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
      801    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
        1    0.002    0.002    0.002    0.002 font_manager.py:1461(_get_font)
       28    0.002    0.000    0.030    0.001 ticker.py:2074(_raw_ticks)
      300    0.002    0.000    0.002    0.000 {method 'flatten' of 'numpy.ndarray' objects}
     2314    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
        2    0.002    0.001    0.002    0.001 function_base.py:1602(angle)
      646    0.002    0.000    0.002    0.000 {method 'reshape' of 'numpy.ndarray' objects}
       21    0.002    0.000    0.002    0.000 {built-in method _imp.create_builtin}
     4994    0.002    0.000    0.004    0.000 sre_parse.py:254(get)
     3822    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     5467    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
      408    0.002    0.000    0.004    0.000 transforms.py:2355(__init__)
      614    0.002    0.000    0.002    0.000 _inspect.py:65(getargs)
     1680    0.002    0.000    0.006    0.000 colors.py:213(_is_nth_color)
     2154    0.002    0.000    0.007    0.000 re.py:188(match)
  250/172    0.002    0.000    0.008    0.000 transforms.py:2444(get_affine)
        1    0.002    0.002    0.002    0.002 {built-in method _posixsubprocess.fork_exec}
        2    0.002    0.001    0.002    0.001 backend_agg.py:78(__init__)
      306    0.002    0.000    0.002    0.000 transforms.py:2054(scale)
      757    0.002    0.000    0.002    0.000 contextlib.py:82(__init__)
      779    0.002    0.000    0.003    0.000 inspect.py:493(unwrap)
       68    0.002    0.000    0.002    0.000 {method 'globalsetvar' of '_tkinter.tkapp' objects}
      252    0.002    0.000    0.054    0.000 markers.py:327(_set_marker)
      357    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
       24    0.002    0.000    0.003    0.000 util.py:186(_collapse_string_to_ranges)
     1089    0.002    0.000    0.005    0.000 __init__.py:1553(getint_event)
     8202    0.002    0.000    0.002    0.000 artist.py:851(get_animated)
      974    0.002    0.000    0.007    0.000 colors.py:265(to_rgba)
      697    0.002    0.000    0.003    0.000 enum.py:75(__setitem__)
    192/2    0.001    0.000    0.852    0.426 artist.py:54(draw_wrapper)
      644    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
       69    0.001    0.000    0.040    0.001 backend_bases.py:1339(__init__)
  452/208    0.001    0.000    0.027    0.000 sre_parse.py:435(_parse_sub)
        1    0.001    0.001   14.570   14.570 LebwohlLasher_Numpy.py:204(main)
     1047    0.001    0.000    0.002    0.000 {method '__reduce_ex__' of 'object' objects}
     5745    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
