         952258 function calls (938251 primitive calls) in 1.440 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      320    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:484(_get_cached)
      673    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1330(_path_importer_cache)
      409    0.001    0.000    0.006    0.000 rcsetup.py:307(validate_color)
        1    0.001    0.001    0.003    0.003 getlimits.py:158(_register_known_types)
      461    0.001    0.000    0.002    0.000 copy.py:258(_reconstruct)
     2242    0.001    0.000    0.001    0.000 sre_parse.py:249(match)
      344    0.001    0.000    0.002    0.000 inspect.py:534(_findclass)
      317    0.001    0.000    0.004    0.000 function_base.py:483(add_newdoc)
     1394    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
     1815    0.001    0.000    0.001    0.000 {method 'setdefault' of 'dict' objects}
      142    0.001    0.000    0.003    0.000 typing.py:659(__init__)
      438    0.001    0.000    0.004    0.000 colors.py:265(to_rgba)
      112    0.001    0.000    0.237    0.002 artist.py:1841(kwdoc)
      548    0.001    0.000    0.001    0.000 {built-in method numpy.array}
      262    0.001    0.000    0.001    0.000 typing.py:120(_type_check)
        2    0.001    0.000    0.001    0.000 {method 'read' of '_io.TextIOWrapper' objects}
     1094    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
       20    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
       99    0.001    0.000    0.296    0.003 artist.py:126(__init_subclass__)
       30    0.001    0.000    0.001    0.000 function_base.py:23(linspace)
      291    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
      850    0.001    0.000    0.002    0.000 colors.py:213(_is_nth_color)
      710    0.001    0.000    0.032    0.000 inspect.py:3103(signature)
      365    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
        1    0.001    0.001    0.002    0.002 scimath.py:1(<module>)
      397    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
      206    0.001    0.000    0.001    0.000 enum.py:938(__and__)
      769    0.001    0.000    0.001    0.000 functools.py:64(wraps)
      390    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      461    0.001    0.000    0.004    0.000 core.py:522(copy)
      409    0.001    0.000    0.001    0.000 function_base.py:346(iterable)
        2    0.001    0.000    0.053    0.027 core.py:1(<module>)
        1    0.001    0.001    0.014    0.014 numeric.py:1(<module>)
      611    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:376(cached)
      252    0.001    0.000    0.001    0.000 sre_parse.py:355(_escape)
      469    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
      335    0.001    0.000    0.088    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
   256/18    0.001    0.000    0.002    0.000 ast.py:373(generic_visit)
      595    0.001    0.000    0.001    0.000 sre_compile.py:423(_simple)
     1281    0.001    0.000    0.001    0.000 __init__.py:658(_set)
      329    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
      721    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:389(parent)
      365    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
     1027    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:867(__exit__)
    509/6    0.001    0.000    1.392    0.232 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      160    0.000    0.000    0.001    0.000 shape_base.py:612(column_stack)
      364    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:147(__enter__)
      710    0.000    0.000    0.031    0.000 inspect.py:2851(from_callable)
      274    0.000    0.000    0.001    0.000 results.py:148(__new__)
      206    0.000    0.000    0.018    0.000 sre_compile.py:598(_code)
     1226    0.000    0.000    0.003    0.000 {built-in method _abc._abc_instancecheck}
     5108    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
     1043    0.000    0.000    0.001    0.000 typing.py:646(_is_dunder)
     2212    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
     1164    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
       84    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
     1027    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:863(__enter__)
     2146    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      291    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:516(_check_name_wrapper)
      576    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
       18    0.000    0.000    0.010    0.001 rcsetup.py:721(validate_cycler)
      291    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:586(_validate_timestamp_pyc)
      291    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      462    0.000    0.000    0.001    0.000 enum.py:12(_is_descriptor)
      364    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:151(__exit__)
      577    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
  214/199    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 {method 'normal' of 'numpy.random.mtrand.RandomState' objects}
      358    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
      718    0.000    0.000    0.001    0.000 types.py:171(__get__)
        2    0.000    0.000    0.027    0.013 core.py:235(read_style_directory)
       63    0.000    0.000    0.001    0.000 inspect.py:3057(__str__)
       47    0.000    0.000    0.007    0.000 __init__.py:1328(_add_data_doc)
      206    0.000    0.000    0.001    0.000 sre_parse.py:224(__init__)
        2    0.000    0.000    0.001    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
       50    0.000    0.000    0.001    0.000 deprecation.py:457(<listcomp>)
       60    0.000    0.000    0.002    0.000 __init__.py:817(_open_file_or_url)
      392    0.000    0.000    0.002    0.000 re.py:203(sub)
     1527    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      433    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
      830    0.000    0.000    0.001    0.000 inspect.py:513(_is_wrapper)
        1    0.000    0.000    0.001    0.001 markers.py:156(MarkerStyle)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      275    0.000    0.000    0.001    0.000 inspect.py:2555(replace)
 1427/165    0.000    0.000    0.003    0.000 abc.py:100(__subclasscheck__)
        1    0.000    0.000    0.001    0.001 TiffTags.py:421(_populate)
      412    0.000    0.000    0.005    0.000 colors.py:218(is_color_like)
      461    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
      447    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.541    0.541 pyplot.py:4(<module>)
     1092    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       32    0.000    0.000    0.004    0.000 colors.py:1027(from_list)
      651    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
      291    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1075(path_stats)
      142    0.000    0.000    0.000    0.000 sre_parse.py:861(_parse_flags)
  122/111    0.000    0.000    0.034    0.000 _docstring.py:79(__call__)
       67    0.000    0.000    0.002    0.000 core.py:3909(__init__)
     1226    0.000    0.000    0.003    0.000 abc.py:96(__instancecheck__)
     78/4    0.000    0.000    0.002    0.000 core.py:962(_parseCache)
      148    0.000    0.000    0.000    0.000 typing.py:172(_collect_type_vars)
      538    0.000    0.000    0.000    0.000 rcsetup.py:180(validator)
  240/225    0.000    0.000    0.005    0.000 typing.py:255(inner)
        1    0.000    0.000    0.022    0.022 _axes.py:46(Axes)
      213    0.000    0.000    0.001    0.000 sre_parse.py:84(opengroup)
        1    0.000    0.000    0.004    0.004 numerictypes.py:1(<module>)
       53    0.000    0.000    0.002    0.000 util.py:240(replaced_by_pep8)
      314    0.000    0.000    0.000    0.000 {method 'replace' of 'code' objects}
      241    0.000    0.000    0.004    0.000 rcsetup.py:279(validate_color_for_prop_cycle)
      168    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
  324/203    0.000    0.000    0.001    0.000 typing.py:720(__hash__)
      838    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      778    0.000    0.000    0.000    0.000 __init__.py:678(_get)
     22/3    0.000    0.000    0.001    0.000 core.py:3944(streamline)
        1    0.000    0.000    0.001    0.001 six.py:21(<module>)
        2    0.000    0.000    0.001    0.000 decoder.py:343(raw_decode)
      618    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
       29    0.000    0.000    0.001    0.000 pathlib.py:532(_select_from)
      206    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      465    0.000    0.000    0.001    0.000 __init__.py:729(__getitem__)
        1    0.000    0.000    0.016    0.016 core.py:5(<module>)
       35    0.000    0.000    0.001    0.000 <frozen zipimport>:63(__init__)
      738    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      132    0.000    0.000    0.001    0.000 ast.py:383(visit_Constant)
     1219    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       66    0.000    0.000    0.001    0.000 core.py:4486(__init__)
      698    0.000    0.000    0.000    0.000 ast.py:210(iter_fields)
      568    0.000    0.000    0.001    0.000 <string>:1(__new__)
        1    0.000    0.000    0.000    0.000 _color_data.py:989(<dictcomp>)
   256/18    0.000    0.000    0.002    0.000 ast.py:367(visit)
      564    0.000    0.000    0.000    0.000 inspect.py:72(isclass)
     2338    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      668    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      412    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
      243    0.000    0.000    0.000    0.000 inspect.py:2573(__str__)
       86    0.000    0.000    0.001    0.000 core.py:3717(__init__)
      117    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
       12    0.000    0.000    0.002    0.000 _docstring.py:57(<listcomp>)
        1    0.000    0.000    0.000    0.000 _cm_listed.py:1(<module>)
       32    0.000    0.000    0.002    0.000 colors.py:399(to_rgba_array)
        1    0.000    0.000    0.004    0.004 _methods.py:1(<module>)
      618    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
