         7092325 function calls (7074186 primitive calls) in 9.951 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5825    0.002    0.000    0.003    0.000 {built-in method builtins.setattr}
      803    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
     8906    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
       33    0.002    0.000    0.003    0.000 function_base.py:23(linspace)
     1743    0.002    0.000    0.002    0.000 __init__.py:101(check_in_list)
2025/1859    0.002    0.000    0.002    0.000 {method 'update' of 'dict' objects}
      802    0.002    0.000    0.002    0.000 {method 'getint' of '_tkinter.tkapp' objects}
       24    0.002    0.000    0.005    0.000 util.py:186(_collapse_string_to_ranges)
      480    0.002    0.000    0.002    0.000 transforms.py:194(set_children)
      394    0.002    0.000    0.002    0.000 contextlib.py:82(__init__)
     2686    0.002    0.000    0.002    0.000 util.py:189(is_consecutive)
      148    0.002    0.000    0.009    0.000 transforms.py:2605(get_matrix)
  452/208    0.002    0.000    0.032    0.000 sre_parse.py:435(_parse_sub)
     5745    0.002    0.000    0.002    0.000 {method 'strip' of 'str' objects}
     5467    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
       54    0.002    0.000    0.019    0.000 lines.py:274(__init__)
     1043    0.002    0.000    0.002    0.000 typing.py:762(__setattr__)
      126    0.002    0.000    0.003    0.000 artist.py:180(__init__)
      680    0.002    0.000    0.002    0.000 __init__.py:2004(_setattr_cm)
        1    0.002    0.002    0.002    0.002 font_manager.py:1461(_get_font)
       36    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
      770    0.002    0.000    0.002    0.000 enum.py:417(__setattr__)
    10114    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
      359    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
      779    0.001    0.000    0.003    0.000 inspect.py:493(unwrap)
     1773    0.001    0.000    0.005    0.000 {built-in method _abc._abc_instancecheck}
      314    0.001    0.000    0.011    0.000 overrides.py:170(decorator)
      646    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
      208    0.001    0.000    0.058    0.000 sre_compile.py:759(compile)
      323    0.001    0.000    0.082    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
   528/87    0.001    0.000    1.269    0.015 <frozen importlib._bootstrap>:1017(_handle_fromlist)
        6    0.001    0.000    0.001    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
       52    0.001    0.000    0.002    0.000 core.py:894(__init__)
   323/16    0.001    0.000    1.105    0.069 <frozen importlib._bootstrap_external>:842(exec_module)
        1    0.001    0.001    0.001    0.001 {built-in method _posixsubprocess.fork_exec}
      195    0.001    0.000    0.003    0.000 transforms.py:754(__init__)
     1562    0.001    0.000    0.092    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
     3301    0.001    0.000    0.002    0.000 inspect.py:2821(<genexpr>)
      299    0.001    0.000    0.002    0.000 font_manager.py:633(__hash__)
     1739    0.001    0.000    0.005    0.000 re.py:188(match)
       18    0.001    0.000    0.001    0.000 _methods.py:108(_clip_dep_invoke_with_casting)
       46    0.001    0.000    0.001    0.000 {built-in method matplotlib._path.point_in_path}
      973    0.001    0.000    0.022    0.000 __init__.py:699(__setitem__)
      962    0.001    0.000    0.002    0.000 transforms.py:1772(__init__)
