LebwohlLasher: Size: 100, Steps: 100, T*: 0.500: Order: 0.285, Time: 15.012627 s
         1711309 function calls (1688914 primitive calls) in 22.068 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7467    0.002    0.000    0.003    0.000 sre_parse.py:164(__getitem__)
     4292    0.002    0.000    0.002    0.000 {built-in method builtins.sorted}
  379/378    0.002    0.000    0.073    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
    20315    0.002    0.000    0.002    0.000 path.py:211(vertices)
    30790    0.002    0.000    0.002    0.000 {built-in method builtins.callable}
      428    0.002    0.000    0.005    0.000 transforms.py:2355(__init__)
       40    0.002    0.000    0.005    0.000 __init__.py:313(namedtuple)
     5988    0.002    0.000    0.002    0.000 sre_parse.py:233(__next)
      679    0.002    0.000    0.006    0.000 fromnumeric.py:69(_wrapreduction)
      620    0.002    0.000    0.010    0.000 transforms.py:2511(composite_transform_factory)
  145/117    0.002    0.000    0.695    0.006 __init__.py:1887(__call__)
      600    0.002    0.000    0.003    0.000 font_manager.py:633(__hash__)
    20171    0.002    0.000    0.002    0.000 path.py:244(simplify_threshold)
      322    0.002    0.000    0.049    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
      100    0.002    0.000    0.007    0.000 artist.py:170(<listcomp>)
    10620    0.002    0.000    0.002    0.000 {built-in method builtins.id}
  214/107    0.002    0.000    0.026    0.000 transforms.py:2375(frozen)
      805    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
      172    0.002    0.000    0.003    0.000 sre_compile.py:276(_optimize_charset)
   380/12    0.002    0.000    0.682    0.057 <frozen importlib._bootstrap>:650(_load_unlocked)
      255    0.002    0.000    0.006    0.000 fromnumeric.py:38(_wrapit)
      131    0.002    0.000    0.002    0.000 transforms.py:367(height)
      379    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
   409/12    0.002    0.000    0.685    0.057 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
    20171    0.002    0.000    0.002    0.000 path.py:256(should_simplify)
 1712/350    0.002    0.000    0.002    0.000 {built-in method _abc._abc_subclasscheck}
       29    0.002    0.000    0.776    0.027 __init__.py:1(<module>)
      913    0.002    0.000    0.004    0.000 transforms.py:157(invalidate)
      614    0.002    0.000    0.002    0.000 _inspect.py:65(getargs)
   288/72    0.002    0.000    0.015    0.000 copy.py:226(_deepcopy_dict)
     6363    0.002    0.000    0.003    0.000 {built-in method builtins.setattr}
      213    0.002    0.000    0.003    0.000 transforms.py:1986(rotate)
    20215    0.002    0.000    0.002    0.000 path.py:225(codes)
       12    0.002    0.000    0.010    0.001 ticker.py:624(format_data_short)
