LebwohlLasher_numba.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.395, Time: 2.870343 s
         2729708 function calls (2654565 primitive calls) in 5.485 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   574/47    0.002    0.000    1.646    0.035 <frozen importlib._bootstrap_external>:842(exec_module)
       39    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
      996    0.002    0.000    0.004    0.000 inspect.py:493(unwrap)
     1283    0.002    0.000    0.004    0.000 os.py:670(__getitem__)
       81    0.002    0.000    0.003    0.000 analysis.py:81(def_reach)
     1397    0.002    0.000    0.005    0.000 weakref.py:382(__getitem__)
     1964    0.002    0.000    0.003    0.000 builder.py:351(_insert)
    11820    0.002    0.000    0.002    0.000 pprint.py:92(__lt__)
      188    0.002    0.000    0.002    0.000 colors.py:1101(<listcomp>)
     2911    0.002    0.000    0.007    0.000 castgraph.py:39(insert)
     4542    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
      239    0.002    0.000    0.020    0.000 extending.py:207(decorate)
      228    0.002    0.000    0.030    0.000 npydecl.py:97(generic)
       24    0.002    0.000    0.005    0.000 util.py:186(_collapse_string_to_ranges)
      686    0.002    0.000    0.004    0.000 numpy_support.py:125(as_dtype)
        1    0.002    0.002    0.002    0.002 tz.py:41(tzutc)
     4498    0.002    0.000    0.045    0.000 ir.py:350(list_vars)
     1121    0.002    0.000    0.006    0.000 base.py:123(_match)
     3124    0.002    0.000    0.002    0.000 event.py:265(on_start)
     1003    0.002    0.000    0.009    0.000 base.py:103(_match_arglist)
     2465    0.002    0.000    0.174    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
      618    0.002    0.000    0.010    0.000 _inspect.py:96(getargspec)
     1160    0.002    0.000    0.016    0.000 initialise.py:74(wrap_stream)
      896    0.002    0.000    0.002    0.000 enum.py:417(__setattr__)
       26    0.002    0.000    0.002    0.000 artist.py:45(allow_rasterization)
     5871    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
       18    0.002    0.000    0.002    0.000 __init__.py:482(cycler)
      246    0.002    0.000    0.065    0.000 templates.py:900(_get_target_registry)
     1992    0.002    0.000    0.002    0.000 sre_parse.py:286(tell)
2251/2247    0.002    0.000    0.009    0.000 context.py:517(can_convert)
      250    0.002    0.000    0.091    0.000 sre_compile.py:759(compile)
 3344/795    0.002    0.000    0.002    0.000 __init__.py:362(recursive_subclasses)
  510/344    0.002    0.000    0.010    0.000 context.py:343(get_meminfos)
     9251    0.002    0.000    0.002    0.000 inspect.py:2539(name)
     1722    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
       94    0.002    0.000    0.002    0.000 analysis.py:91(liveness)
      330    0.002    0.000    0.002    0.000 common.py:9(_decode_string)
      244    0.002    0.000    0.002    0.000 core.py:461(__init__)
       92    0.002    0.000    0.024    0.000 __init__.py:1372(_preprocess_data)
     2072    0.002    0.000    0.007    0.000 base.py:368(insert_func_defn)
1994/1803    0.002    0.000    0.021    0.000 contextlib.py:108(__enter__)
      574    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:553(_classify_pyc)
     2508    0.002    0.000    0.005    0.000 <__array_function__ internals>:177(can_cast)
      611    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1493(_get_spec)
     1827    0.002    0.000    0.002    0.000 registry.py:96(__getitem__)
       24    0.002    0.000    0.002    0.000 {built-in method _imp.create_builtin}
     1959    0.002    0.000    0.004    0.000 values.py:564(_get_reference)
     6375    0.002    0.000    0.002    0.000 {method 'strip' of 'str' objects}
     1160    0.002    0.000    0.009    0.000 ansitowin32.py:43(isatty)
   580/61    0.002    0.000    1.557    0.026 {built-in method builtins.__import__}
     1994    0.002    0.000    0.005    0.000 contextlib.py:238(helper)
     5088    0.002    0.000    0.002    0.000 _utils.py:13(is_used)
     2177    0.001    0.000    0.015    0.000 base.py:1243(enter_fn)
      582    0.001    0.000    0.002    0.000 functions.py:78(add_error)
   273/11    0.001    0.000    0.008    0.001 core.py:811(_parseNoCache)
       15    0.001    0.000    0.001    0.000 rcsetup.py:85(_listify_validator)
     2177    0.001    0.000    0.018    0.000 base.py:1246(exit_fn)
      250    0.001    0.000    0.012    0.000 sre_compile.py:536(_compile_info)
      464    0.001    0.000    0.003    0.000 numpy_support.py:387(choose_types)
     1533    0.001    0.000    0.003    0.000 target_extension.py:14(__getitem__)
      289    0.001    0.000    0.022    0.000 typeof.py:27(typeof)
     1893    0.001    0.000    0.001    0.000 utils.py:467(__setitem__)
      504    0.001    0.000    0.005    0.000 copy.py:66(copy)
      262    0.001    0.000    0.021    0.000 context.py:700(load_additional_registries)
      284    0.001    0.000    0.012    0.000 overrides.py:88(verify_matching_signatures)
      344    0.001    0.000    0.012    0.000 context.py:360(_call_incref_decref)
     2835    0.001    0.000    0.024    0.000 ir.py:598(list_vars)
     1458    0.001    0.000    0.002    0.000 errors.py:812(new_error_context)
        1    0.001    0.001    0.002    0.002 helpers.py:647(<dictcomp>)
       50    0.001    0.000    0.004    0.000 deprecation.py:457(<listcomp>)
      101    0.001    0.000    0.005    0.000 deprecation.py:128(deprecate)
     1167    0.001    0.000    0.005    0.000 _collections_abc.py:664(__contains__)
       72    0.001    0.000    0.006    0.000 analysis.py:235(compute_cfg_from_blocks)
      132    0.001    0.000    0.053    0.000 _docstring.py:38(__call__)
      969    0.001    0.000    0.025    0.000 __init__.py:699(__setitem__)
      780    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:176(cb)
   146/16    0.001    0.000    0.594    0.037 typeinfer.py:580(resolve)
     1891    0.001    0.000    0.002    0.000 context.py:455(_lookup_global)
     2506    0.001    0.000    0.020    0.000 ffi.py:132(__getattr__)
     3083    0.001    0.000    0.002    0.000 sre_parse.py:172(append)
     1318    0.001    0.000    0.001    0.000 cpu_options.py:131(__init__)
      611    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:484(_get_cached)
     2686    0.001    0.000    0.002    0.000 util.py:189(is_consecutive)
