LebwohlLasher_numpy.py: Size: 100, Steps: 100, T*: 0.500: Order: 0.322, Time: 5.667886 s
         2706921 function calls (2684830 primitive calls) in 11.107 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      108    0.002    0.000    0.020    0.000 lines.py:274(__init__)
    20236    0.002    0.000    0.002    0.000 path.py:211(vertices)
    30790    0.002    0.000    0.002    0.000 {built-in method builtins.callable}
       40    0.002    0.000    0.005    0.000 __init__.py:313(namedtuple)
   378/15    0.002    0.000    0.690    0.046 <frozen importlib._bootstrap>:650(_load_unlocked)
      188    0.002    0.000    0.002    0.000 colors.py:1101(<listcomp>)
      571    0.002    0.000    0.005    0.000 transforms.py:1889(__init__)
      252    0.002    0.000    0.003    0.000 artist.py:180(__init__)
      377    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
      172    0.002    0.000    0.003    0.000 sre_compile.py:276(_optimize_charset)
     7815    0.002    0.000    0.002    0.000 enum.py:631(__new__)
      100    0.002    0.000    0.007    0.000 artist.py:170(<listcomp>)
     1275    0.002    0.000    0.003    0.000 transforms.py:1772(__init__)
 1707/350    0.002    0.000    0.002    0.000 {built-in method _abc._abc_subclasscheck}
     1009    0.002    0.000    0.013    0.000 fromnumeric.py:2188(sum)
      801    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
      326    0.002    0.000    0.004    0.000 transforms.py:754(__init__)
      320    0.002    0.000    0.003    0.000 __init__.py:890(get_siblings)
     2154    0.002    0.000    0.005    0.000 re.py:188(match)
      614    0.002    0.000    0.002    0.000 _inspect.py:65(getargs)
    20136    0.002    0.000    0.002    0.000 path.py:225(codes)
    20092    0.002    0.000    0.002    0.000 path.py:256(should_simplify)
      638    0.002    0.000    0.005    0.000 __init__.py:1553(getint_event)
      801    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
    20092    0.002    0.000    0.002    0.000 path.py:244(simplify_threshold)
     1985    0.002    0.000    0.002    0.000 transforms.py:110(__init__)
      300    0.002    0.000    0.002    0.000 {method 'flatten' of 'numpy.ndarray' objects}
   405/14    0.002    0.000    0.694    0.050 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
     6363    0.002    0.000    0.002    0.000 {built-in method builtins.setattr}
       29    0.002    0.000    0.819    0.028 __init__.py:1(<module>)
      509    0.001    0.000    0.001    0.000 {method 'reshape' of 'numpy.ndarray' objects}
   288/72    0.001    0.000    0.015    0.000 copy.py:226(_deepcopy_dict)
     4994    0.001    0.000    0.003    0.000 sre_parse.py:254(get)
       62    0.001    0.000    0.013    0.000 patches.py:742(get_patch_transform)
      314    0.001    0.000    0.011    0.000 overrides.py:170(decorator)
       60    0.001    0.000    0.006    0.000 lines.py:656(recache)
      294    0.001    0.000    0.004    0.000 colors.py:237(_check_color_like)
      102    0.001    0.000    0.002    0.000 twodim_base.py:162(eye)
     2654    0.001    0.000    0.002    0.000 __init__.py:421(_strip_comment)
2435/2269    0.001    0.000    0.002    0.000 {method 'update' of 'dict' objects}
       34    0.001    0.000    0.001    0.000 {method 'globalsetvar' of '_tkinter.tkapp' objects}
      697    0.001    0.000    0.002    0.000 enum.py:75(__setitem__)
     3822    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      357    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
       12    0.001    0.000    0.001    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     9102    0.001    0.000    0.001    0.000 {built-in method builtins.id}
      755    0.001    0.000    0.002    0.000 contextlib.py:82(__init__)
      431    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
      568    0.001    0.000    0.002    0.000 <string>:1(__new__)
       36    0.001    0.000    0.042    0.001 axis.py:58(__init__)
       28    0.001    0.000    0.001    0.000 {built-in method matplotlib._path.point_in_path}
     5467    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
      974    0.001    0.000    0.006    0.000 colors.py:265(to_rgba)
      512    0.001    0.000    0.001    0.000 __init__.py:1775(<dictcomp>)
       24    0.001    0.000    0.010    0.000 ticker.py:2074(_raw_ticks)
     8906    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
       72    0.001    0.000    0.011    0.000 lines.py:728(draw)
  542/102    0.001    0.000    0.588    0.006 <frozen importlib._bootstrap>:1017(_handle_fromlist)
     8202    0.001    0.000    0.001    0.000 artist.py:851(get_animated)
      644    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
       62    0.001    0.000    0.022    0.000 text.py:738(draw)
     1680    0.001    0.000    0.005    0.000 colors.py:213(_is_nth_color)
    10054    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      284    0.001    0.000    0.007    0.000 overrides.py:88(verify_matching_signatures)
        2    0.001    0.001    0.001    0.001 function_base.py:1602(angle)
      224    0.001    0.000    0.002    0.000 transforms.py:2054(scale)
       36    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
  452/208    0.001    0.000    0.023    0.000 sre_parse.py:435(_parse_sub)
     2166    0.001    0.000    0.003    0.000 {built-in method _abc._abc_instancecheck}
     2314    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
      252    0.001    0.000    0.019    0.000 markers.py:327(_set_marker)
       24    0.001    0.000    0.003    0.000 util.py:186(_collapse_string_to_ranges)
       24    0.001    0.000    0.001    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      208    0.001    0.000    0.039    0.000 sre_compile.py:759(compile)
      134    0.001    0.000    0.002    0.000 transforms.py:1986(rotate)
     1163    0.001    0.000    0.002    0.000 {built-in method builtins.max}
        6    0.001    0.000    0.005    0.001 ticker.py:624(format_data_short)
  154/122    0.001    0.000    0.005    0.000 transforms.py:2444(get_affine)
  644/518    0.001    0.000    0.001    0.000 transforms.py:167(_invalidate_internal)
   322/15    0.001    0.000    0.690    0.046 <frozen importlib._bootstrap_external>:842(exec_module)
      322    0.001    0.000    0.049    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
      779    0.001    0.000    0.002    0.000 inspect.py:493(unwrap)
     1530    0.001    0.000    0.006    0.000 artist.py:417(pchanged)
      208    0.001    0.000    0.004    0.000 sre_compile.py:536(_compile_info)
  755/731    0.001    0.000    0.005    0.000 contextlib.py:117(__exit__)
      190    0.001    0.000    0.007    0.000 transforms.py:1835(frozen)
       54    0.001    0.000    0.022    0.000 text.py:918(get_window_extent)
       15    0.001    0.000    0.001    0.000 rcsetup.py:85(_listify_validator)
       48    0.001    0.000    0.001    0.000 transforms.py:379(bounds)
     1548    0.001    0.000    0.069    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
        4    0.001    0.000    0.001    0.000 {method 'repeat' of 'numpy.ndarray' objects}
2127/2031    0.001    0.000    0.010    0.000 {built-in method builtins.next}
       60    0.001    0.000    0.001    0.000 __init__.py:1494(nametowidget)
     1541    0.001    0.000    0.001    0.000 function_base.py:346(iterable)
     1047    0.001    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
        1    0.001    0.001   10.443   10.443 LebwohlLasher_numpy.py:204(main)
      252    0.001    0.000    0.003    0.000 transforms.py:2355(__init__)
     1009    0.001    0.000    0.015    0.000 <__array_function__ internals>:177(sum)
   457/25    0.001    0.000    0.639    0.026 {built-in method builtins.__import__}
       96    0.001    0.000    0.001    0.000 text.py:1351(get_parse_math)
        2    0.001    0.000    4.639    2.319 LebwohlLasher_numpy.py:22(plotdat)
      176    0.001    0.000    0.004    0.000 fromnumeric.py:38(_wrapit)
      397    0.001    0.000    0.002    0.000 __init__.py:65(check_isinstance)
      618    0.001    0.000    0.004    0.000 _inspect.py:96(getargspec)
      254    0.001    0.000    0.001    0.000 lines.py:63(_scale_dashes)
 3344/795    0.001    0.000    0.001    0.000 __init__.py:362(recursive_subclasses)
     1685    0.001    0.000    0.001    0.000 fromnumeric.py:70(<dictcomp>)
    66/38    0.001    0.000    0.609    0.016 __init__.py:1887(__call__)
     3301    0.001    0.000    0.001    0.000 inspect.py:2821(<genexpr>)
      310    0.001    0.000    0.001    0.000 font_manager.py:809(set_size)
        1    0.001    0.001    0.003    0.003 LebwohlLasher_numpy.py:62(savedat)
      304    0.001    0.000    0.005    0.000 transforms.py:2511(composite_transform_factory)
     2599    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      291    0.001    0.000    0.001    0.000 {built-in method matplotlib._path.affine_transform}
     4531    0.001    0.000    0.001    0.000 artist.py:1567(<genexpr>)
    192/2    0.001    0.000    0.521    0.260 artist.py:54(draw_wrapper)
       28    0.001    0.000    0.028    0.001 backend_bases.py:1339(__init__)
       12    0.001    0.000    0.088    0.007 axis.py:1269(_update_ticks)
  377/375    0.001    0.000    0.035    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
       21    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
      317    0.001    0.000    0.003    0.000 function_base.py:483(add_newdoc)
     8632    0.001    0.000    0.001    0.000 inspect.py:2539(name)
      113    0.001    0.000    0.001    0.000 pathlib.py:64(parse_parts)
      974    0.001    0.000    0.015    0.000 __init__.py:699(__setitem__)
      966    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
      134    0.001    0.000    0.010    0.000 text.py:185(_reset_visual_defaults)
      518    0.001    0.000    0.002    0.000 transforms.py:157(invalidate)
     2686    0.001    0.000    0.001    0.000 util.py:189(is_consecutive)
      414    0.001    0.000    0.002    0.000 lines.py:1268(set_xdata)
      104    0.001    0.000    0.003    0.000 deprecation.py:128(deprecate)
      132    0.001    0.000    0.026    0.000 _docstring.py:38(__call__)
     1330    0.001    0.000    0.001    0.000 {built-in method numpy.asanyarray}
       92    0.001    0.000    0.010    0.000 __init__.py:1372(_preprocess_data)
      322    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:553(_classify_pyc)
       24    0.001    0.000    0.003    0.000 ticker.py:778(_set_format)
     1047    0.001    0.000    0.001    0.000 copyreg.py:90(__newobj__)
