         945693 function calls (931690 primitive calls) in 0.934 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      788    0.000    0.000    0.000    0.000 __init__.py:954(<lambda>)
       19    0.000    0.000    0.001    0.000 path.py:99(__init__)
      105    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
      618    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
        1    0.000    0.000    0.011    0.011 helpers.py:2(<module>)
        1    0.000    0.000    0.007    0.007 cm.py:33(_gen_cmap_registry)
        1    0.000    0.000    0.044    0.044 __init__.py:25(<module>)
     1180    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        1    0.000    0.000    0.003    0.003 tokenize.py:1(<module>)
      334    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      660    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      241    0.000    0.000    0.003    0.000 rcsetup.py:279(validate_color_for_prop_cycle)
     1249    0.000    0.000    0.000    0.000 inspect.py:2857(parameters)
       29    0.000    0.000    0.000    0.000 pathlib.py:532(_select_from)
      614    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
      602    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      342    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
       28    0.000    0.000    0.051    0.002 <frozen importlib._bootstrap_external>:1164(create_module)
       34    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1317(_path_hooks)
      111    0.000    0.000    0.004    0.000 rcsetup.py:88(f)
      105    0.000    0.000    0.000    0.000 codecs.py:319(decode)
       50    0.000    0.000    0.000    0.000 deprecation.py:440(<listcomp>)
       14    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
   256/18    0.000    0.000    0.001    0.000 ast.py:367(visit)
      110    0.000    0.000    0.003    0.000 abc.py:84(__new__)
        1    0.000    0.000    0.014    0.014 fromnumeric.py:1(<module>)
      698    0.000    0.000    0.000    0.000 ast.py:210(iter_fields)
        3    0.000    0.000    0.000    0.000 {built-in method posix.uname}
      344    0.000    0.000    0.000    0.000 inspect.py:80(ismethod)
      132    0.000    0.000    0.001    0.000 ast.py:383(visit_Constant)
       28    0.000    0.000    0.001    0.000 __init__.py:1284(getLogger)
     62/9    0.000    0.000    0.003    0.000 core.py:3751(leave_whitespace)
       44    0.000    0.000    0.003    0.000 _base.py:67(__set_name__)
       53    0.000    0.000    0.001    0.000 core.py:3066(parseImpl)
        1    0.000    0.000    0.004    0.004 defchararray.py:1(<module>)
