LebwohlLasher.py: Size: 150, Steps: 150, T*: 0.500: Order: 0.325, Time: 91.171391 s
         15096756 function calls (15072859 primitive calls) in 98.508 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   378/15    0.002    0.000    0.702    0.047 <frozen importlib._bootstrap>:650(_load_unlocked)
       42    0.002    0.000    0.059    0.001 axis.py:58(__init__)
      377    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
     6513    0.002    0.000    0.003    0.000 {built-in method builtins.setattr}
    34/29    0.002    0.000    0.016    0.001 {built-in method _imp.exec_dynamic}
      561    0.002    0.000    0.006    0.000 __init__.py:1553(getint_event)
      614    0.002    0.000    0.002    0.000 _inspect.py:65(getargs)
       72    0.002    0.000    0.007    0.000 lines.py:656(recache)
    10558    0.002    0.000    0.002    0.000 {built-in method builtins.id}
2551/2385    0.002    0.000    0.002    0.000 {method 'update' of 'dict' objects}
     2091    0.002    0.000    0.002    0.000 transforms.py:110(__init__)
      801    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
      349    0.002    0.000    0.004    0.000 transforms.py:754(__init__)
   405/14    0.002    0.000    0.705    0.050 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
      801    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
      300    0.002    0.000    0.028    0.000 markers.py:327(_set_marker)
       74    0.002    0.000    0.022    0.000 text.py:738(draw)
        1    0.002    0.002   97.836   97.836 LebwohlLasher.py:257(main)
      845    0.002    0.000    0.002    0.000 contextlib.py:82(__init__)
       29    0.002    0.000    0.808    0.028 __init__.py:1(<module>)
     9270    0.002    0.000    0.002    0.000 artist.py:851(get_animated)
      697    0.001    0.000    0.003    0.000 enum.py:75(__setitem__)
     4994    0.001    0.000    0.003    0.000 sre_parse.py:254(get)
  182/145    0.001    0.000    0.006    0.000 transforms.py:2444(get_affine)
     3822    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     2654    0.001    0.000    0.002    0.000 __init__.py:421(_strip_comment)
        8    0.001    0.000    0.007    0.001 ticker.py:624(format_data_short)
      357    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
      616    0.001    0.000    0.001    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     8906    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     2250    0.001    0.000    0.005    0.000 re.py:188(match)
     5467    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
      431    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
     1776    0.001    0.000    0.005    0.000 colors.py:213(_is_nth_color)
     2251    0.001    0.000    0.003    0.000 {built-in method _abc._abc_instancecheck}
       90    0.001    0.000    0.011    0.000 lines.py:728(draw)
  542/102    0.001    0.000    0.600    0.006 <frozen importlib._bootstrap>:1017(_handle_fromlist)
     1040    0.001    0.000    0.006    0.000 colors.py:265(to_rgba)
     1746    0.001    0.000    0.007    0.000 artist.py:417(pchanged)
       25    0.001    0.000    0.001    0.000 {method 'globalsetvar' of '_tkinter.tkapp' objects}
