LebwohlLasher: Size: 150, Steps: 150, T*: 0.500: Order: 0.281, Time: 80.334899 s
         2326740 function calls (2302657 primitive calls) in 107.440 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      249    0.001    0.000    0.004    0.000 fromnumeric.py:2432(all)
      974    0.001    0.000    0.015    0.000 __init__.py:699(__setitem__)
     2602    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
  378/376    0.001    0.000    0.054    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
       24    0.001    0.000    0.002    0.000 util.py:186(_collapse_string_to_ranges)
     3301    0.001    0.000    0.001    0.000 inspect.py:2821(<genexpr>)
      208    0.001    0.000    0.004    0.000 sre_compile.py:536(_compile_info)
      960    0.001    0.000    0.001    0.000 copy.py:242(_keep_alive)
      510    0.001    0.000    0.003    0.000 markers.py:277(_recache)
    228/2    0.001    0.000    0.808    0.404 artist.py:54(draw_wrapper)
        1    0.001    0.001    0.063    0.063 rcsetup.py:1(<module>)
      153    0.001    0.000    0.002    0.000 transforms.py:1986(rotate)
       92    0.001    0.000    0.010    0.000 __init__.py:1372(_preprocess_data)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
      192    0.001    0.000    0.011    0.000 transforms.py:1475(transform)
 3344/795    0.001    0.000    0.001    0.000 __init__.py:362(recursive_subclasses)
      151    0.001    0.000    0.001    0.000 shape_base.py:81(atleast_2d)
      158    0.001    0.000    0.001    0.000 linalg.py:136(_commonType)
      195    0.001    0.000    0.003    0.000 fromnumeric.py:38(_wrapit)
      104    0.001    0.000    0.004    0.000 deprecation.py:128(deprecate)
      151    0.001    0.000    0.004    0.000 linalg.py:192(_assert_finite)
       51    0.001    0.000    0.001    0.000 {built-in method io.open}
      966    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
        1    0.001    0.001    0.001    0.001 colorbar.py:195(Colorbar)
  256/238    0.001    0.000    0.238    0.001 deprecation.py:443(wrapper)
     1181    0.001    0.000    0.001    0.000 copyreg.py:90(__newobj__)
       29    0.001    0.000    0.024    0.001 backend_bases.py:1339(__init__)
      238    0.001    0.000    0.003    0.000 shape_base.py:612(column_stack)
      113    0.001    0.000    0.001    0.000 pathlib.py:64(parse_parts)
      151    0.001    0.000    0.014    0.000 shape_base.py:223(vstack)
     2279    0.001    0.000    0.004    0.000 abc.py:96(__instancecheck__)
     4531    0.001    0.000    0.001    0.000 artist.py:1567(<genexpr>)
      100    0.001    0.000    0.241    0.002 artist.py:159(_update_set_signature_and_docstring)
      400    0.001    0.000    0.002    0.000 transforms.py:1851(transform_affine)
      770    0.001    0.000    0.001    0.000 enum.py:417(__setattr__)
     8632    0.001    0.000    0.001    0.000 inspect.py:2539(name)
      328    0.001    0.000    0.001    0.000 __init__.py:197(__init__)
      498    0.001    0.000    0.002    0.000 lines.py:1289(set_ydata)
      194    0.001    0.000    0.004    0.000 font_manager.py:590(__init__)
      208    0.001    0.000    0.024    0.000 sre_parse.py:937(parse)
  845/815    0.001    0.000    0.007    0.000 contextlib.py:108(__enter__)
     5745    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      170    0.001    0.000    0.002    0.000 colors.py:307(_to_rgba_no_colorcycle)
       36    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
